measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,3,Rate,2003,0.9084535178900001,1.2405819897400001,0.63303537374
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,3,Rate,2003,0.47842733558,0.71476545129,0.30641041159
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,1,Number,2004,1.1470713667883934,1.5675125039709634,0.7966239113108389
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,1,Number,2004,0.622806799191897,0.915924379991578,0.3969117418744249
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,2,Percent,2004,0.0807273726484466,0.1039173077457717,0.0582761908142628
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,2,Percent,2004,0.0349457736343786,0.0481044202825141,0.0233412702256067
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,3,Rate,2004,0.92302356044,1.26134346505,0.6410260601400001
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,3,Rate,2004,0.45066713231,0.6627689586600001,0.28720796999000003
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,1,Number,2005,1.1992534178281964,1.6327118054897989,0.8402461641846153
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,1,Number,2005,0.6271136285937288,0.8997882406568763,0.3964860188572352
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,2,Percent,2005,0.0810239050225792,0.1047903119145969,0.0584911209118034
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,2,Percent,2005,0.034603377957229,0.0471918452194335,0.0231604100179251
